location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230117T0700,0.8502454
20230117T0800,0.8202454
20230117T0900,1.5502454
20230117T1000,2.2802453
20230117T1100,2.6302452
20230117T1200,3.0202456
20230117T1300,2.9802456
20230117T1400,2.2602453
20230117T1500,1.5502454
20230117T1600,1.3502455
20230117T1700,1.1102455
20230117T1800,1.0102454
20230117T1900,0.7902454
20230117T2000,1.0502454
20230117T2100,1.1902454
20230117T2200,0.84024537
20230117T2300,1.0702454
20230118T0000,1.9802454
20230118T0100,2.1302454
20230118T0200,2.2602453
20230118T0300,1.9402454
20230118T0400,1.6702454
20230118T0500,1.5802454
20230118T0600,1.7602454
20230118T0700,1.5702454
20230118T0800,1.5702454
20230118T0900,1.4502454
20230118T1000,1.3802454
20230118T1100,1.5202454
20230118T1200,1.9002454
20230118T1300,1.9102454
20230118T1400,1.9402454
20230118T1500,1.5502454
20230118T1600,1.1302454
20230118T1700,0.47024542
20230118T1800,0.16024542
20230118T1900,-0.019754589
20230118T2000,-0.23975462
20230118T2100,-0.39975458
20230118T2200,-0.22975457
20230118T2300,-1.0097545
20230119T0000,-1.3797545
20230119T0100,-1.5197545
20230119T0200,-2.1597548
20230119T0300,-2.5097547
20230119T0400,-2.3097544
20230119T0500,-2.1697545
20230119T0600,-2.1897545
20230119T0700,-1.9397546
20230119T0800,-1.9697546
20230119T0900,-1.2497545
20230119T1000,-0.05975461
20230119T1100,0.5102454
20230119T1200,1.2802454
20230119T1300,1.7302454
20230119T1400,1.8202454
20230119T1500,1.4902453
20230119T1600,-0.019754589
20230119T1700,-1.0097545
20230119T1800,-1.3997546
20230119T1900,-1.9997545
20230119T2000,-2.5897546
20230119T2100,-3.1097546
20230119T2200,-3.709755
20230119T2300,-3.459755
20230120T0000,-3.5997548
20230120T0100,-3.5097547
20230120T0200,-3.4497547
20230120T0300,-3.1997547
20230120T0400,-2.9597545
20230120T0500,-2.3197546
20230120T0600,-2.2997546
20230120T0700,-2.4997544
20230120T0800,-1.0197546
20230120T0900,-0.1897546
20230120T1000,0.090245396
20230120T1100,0.8202454
20230120T1200,1.3302454
20230120T1300,1.6502454
20230120T1400,1.9902455
20230120T1500,1.6202455
20230120T1600,0.4002454
20230120T1700,-0.73975456
20230120T1800,-1.4697546
20230120T1900,-1.5697545
20230120T2000,-1.1497546
20230120T2100,-2.2697544
20230120T2200,-1.7497545
20230120T2300,-1.5197545
20230121T0000,-1.8297547
20230121T0100,-2.1997547
20230121T0200,-2.9297547
20230121T0300,-2.6897545
20230121T0400,-2.9697547
20230121T0500,-3.4897547
20230121T0600,-3.9397545
20230121T0700,-4.519755
20230121T0800,-3.8997545
20230121T0900,-2.2597547
20230121T1000,-0.7897546
20230121T1100,0.2602454
20230121T1200,1.0302454
20230121T1300,1.0702454
20230121T1400,0.5802454
20230121T1500,0.010245383
20230121T1600,-0.5897546
20230121T1700,-0.5697546
20230121T1800,-0.46975458
20230121T1900,-0.3897546
20230121T2000,-0.3797546
20230121T2100,-0.49975455
20230121T2200,-0.61975455
20230121T2300,-0.65975463
20230122T0000,-0.7197546
20230122T0100,-0.6997546
20230122T0200,-0.7097546
20230122T0300,-0.72975457
20230122T0400,-0.60975456
20230122T0500,-0.39975458
20230122T0600,-0.29975462
20230122T0700,-0.23975462
20230122T0800,-0.1397546
20230122T0900,0.070245415
20230122T1000,0.6002454
20230122T1100,0.9902454
20230122T1200,1.3302454
20230122T1300,1.5702454
20230122T1400,1.6702454
20230122T1500,1.5002453
20230122T1600,1.4902453
20230122T1700,1.7402455
20230122T1800,1.5202454
20230122T1900,1.2202454
20230122T2000,0.7402454
20230122T2100,0.9402454
20230122T2200,0.5102454
20230122T2300,0.4002454
20230123T0000,0.4802454
20230123T0100,0.7202454
20230123T0200,0.6702454
20230123T0300,0.7902454
20230123T0400,0.84024537
20230123T0500,0.7402454
20230123T0600,0.7302454
20230123T0700,0.6002454
20230123T0800,0.7302454
20230123T0900,0.8302454
20230123T1000,1.6702454
20230123T1100,2.0802455
20230123T1200,2.4002454
20230123T1300,2.7202454
20230123T1400,2.9002452
20230123T1500,2.9902453
20230123T1600,2.8802452
20230123T1700,2.9702454
20230123T1800,3.0102453
20230123T1900,3.1902456
20230123T2000,3.2502456
20230123T2100,3.4202452
20230123T2200,3.4602456
20230123T2300,3.5302453
20230124T0000,3.5202456
20230124T0100,3.6402454
20230124T0200,3.5602455
20230124T0300,3.4202452
20230124T0400,3.3202453
20230124T0500,3.2602453
20230124T0600,3.2702456
20230124T0700,3.1702452
20230124T0800,3.3002453
20230124T0900,3.4002452
20230124T1000,3.8702455
20230124T1100,4.2302456
20230124T1200,4.630245
20230124T1300,4.920245
20230124T1400,5.040245
20230124T1500,4.9902453
20230124T1600,3.9002452
20230124T1700,3.7702456
20230124T1800,3.4502454
20230124T1900,3.3902454
20230124T2000,3.4802456
20230124T2100,3.1002455
20230124T2200,2.5902452
20230124T2300,3.1802454
20230125T0000,2.5802455
20230125T0100,2.7002454
20230125T0200,2.5402455
20230125T0300,2.5902452
20230125T0400,2.7102456
20230125T0500,2.3202453
20230125T0600,2.4602454
20230125T0700,2.2802453
20230125T0800,2.6202455
20230125T0900,2.8302455
20230125T1000,3.0402455
20230125T1100,3.1002455
20230125T1200,3.3102455
20230125T1300,3.4902453
20230125T1400,3.5702453
20230125T1500,3.6002455
20230125T1600,2.7902455
20230125T1700,3.5602455
20230125T1800,3.3902454
20230125T1900,3.2502456
20230125T2000,3.1302452
20230125T2100,2.6302452
20230125T2200,2.4202454
20230125T2300,1.8802454
20230126T0000,1.4702454
20230126T0100,0.8002454
20230126T0200,0.7202454
20230126T0300,0.6802454
20230126T0400,0.2802454
20230126T0500,0.5802454
20230126T0600,0.5302454
20230126T0700,0.64024544
20230126T0800,0.4502454
20230126T0900,0.4902454
20230126T1000,0.7102454
20230126T1100,0.9402454
20230126T1200,0.9002454
20230126T1300,0.9302454
20230126T1400,0.7102454
20230126T1500,0.5602454
20230126T1600,0.3602454
20230126T1700,0.00024539232
20230126T1800,-0.24975461
20230126T1900,-0.48975456
20230126T2000,-0.5597546
20230126T2100,-0.7197546
20230126T2200,-0.72975457
20230126T2300,-0.90975463
20230127T0000,-0.87975454
20230127T0100,-0.9297546
20230127T0200,-1.0797546
20230127T0300,-1.0897546
20230127T0400,-0.9197546
20230127T0500,-0.9597546
20230127T0600,-0.6797546
20230127T0700,-0.63975465
20230127T0800,-0.4597546
20230127T0900,-0.11975461
20230127T1000,0.3702454
20230127T1100,0.8602454
20230127T1200,1.1802454
20230127T1300,1.4702454
20230127T1400,1.4202454
20230127T1500,1.4002454
20230127T1600,1.1102455
20230127T1700,0.6102454
20230127T1800,0.17024541
20230127T1900,0.17024541
20230127T2000,0.4602454
20230127T2100,0.3802454
20230127T2200,0.52024543
20230127T2300,0.19024539
20230128T0000,0.060245395
20230128T0100,0.050245404
20230128T0200,0.030245423
20230128T0300,-0.10975462
20230128T0400,0.3802454
20230128T0500,0.5102454
20230128T0600,0.77024543
20230128T0700,0.8502454
20230128T0800,1.2102454
20230128T0900,1.5502454
20230128T1000,2.0302453
20230128T1100,2.4102454
20230128T1200,2.7002454
20230128T1300,2.7202454
20230128T1400,2.9202452
20230128T1500,2.8702455
20230128T1600,2.5602455
20230128T1700,2.2102454
20230128T1800,2.0502453
20230128T1900,1.5202454
20230128T2000,1.0602454
20230128T2100,1.0502454
20230128T2200,0.6602454
20230128T2300,1.0102454
20230129T0000,0.6602454
20230129T0100,0.77024543
20230129T0200,-0.1397546
20230129T0300,0.080245405
20230129T0400,-0.3297546
20230129T0500,0.5802454
20230129T0600,0.090245396
20230129T0700,0.4302454
20230129T0800,0.6002454
20230129T0900,0.9202454
20230129T1000,1.3802454
20230129T1100,1.9502454
20230129T1200,2.1302454
20230129T1300,2.4002454
20230129T1400,2.4802454
20230129T1500,2.5502453
20230129T1600,2.0102453
20230129T1700,2.1802454
20230129T1800,1.0102454
20230129T1900,-0.08975458
20230129T2000,-2.3497548
20230129T2100,-2.7297544
20230129T2200,-1.9897546
20230129T2300,-1.9797546
20230130T0000,-2.6297545
20230130T0100,-2.8197546
20230130T0200,-3.1397548
20230130T0300,-2.6797547
20230130T0400,-2.0497546
20230130T0500,-1.7597545
20230130T0600,-2.1697545
20230130T0700,-1.8397547
20230130T0800,-1.2497545
20230130T0900,-0.03975457
20230130T1000,0.89024544
20230130T1100,1.9302454
20230130T1200,2.5202456
20230130T1300,3.0302453
20230130T1400,3.2302456
20230130T1500,3.0802455
20230130T1600,2.9202452
20230130T1700,2.6102452
20230130T1800,2.4302454
20230130T1900,2.1202455
20230130T2000,1.9802454
20230130T2100,1.9302454
20230130T2200,1.9402454
20230130T2300,1.7202454
20230131T0000,1.8302454
20230131T0100,1.5002453
20230131T0200,1.1102455
20230131T0300,0.8502454
20230131T0400,0.3702454
20230131T0500,0.020245433
20230131T0600,-0.08975458
20230131T0700,-0.4297546
20230131T0800,0.14024541
20230131T0900,1.5102453
20230131T1000,2.8802452
20230131T1100,4.0402455
20230131T1200,5.020245
20230131T1300,5.110245
20230131T1400,5.150245
20230131T1500,5.0502453
20230131T1600,5.000245
20230131T1700,4.960245
20230131T1800,4.7002454
20230131T1900,4.4502454
20230131T2000,4.5302453
20230131T2100,4.4802456
20230131T2200,4.4102454
20230131T2300,4.380245
20230201T0000,4.2202454
20230201T0100,3.6602454
20230201T0200,3.0502453
20230201T0300,2.9902453
20230201T0400,2.9202452
20230201T0500,3.2402453
20230201T0600,3.6102452
20230201T0700,3.8602452
20230201T0800,4.0102453
20230201T0900,4.4702454
20230201T1000,5.1602454
20230201T1100,5.8002453
20230201T1200,6.3902454
20230201T1300,6.6402454
20230201T1400,6.770245
20230201T1500,6.5802455
20230201T1600,6.190245
20230201T1700,5.9902453
20230201T1800,6.040245
20230201T1900,5.7602453
20230201T2000,5.710245
20230201T2100,5.770245
20230201T2200,5.5702453
20230201T2300,5.4302454
20230202T0000,5.3202453
20230202T0100,5.2802453
20230202T0200,5.270245
20230202T0300,5.0902452
20230202T0400,4.980245
20230202T0500,5.040245
20230202T0600,5.210245
20230202T0700,5.2602453
20230202T0800,5.440245
20230202T0900,5.750245
20230202T1000,6.2202454
20230202T1100,6.610245
20230202T1200,7.020245
20230202T1300,7.3902454
20230202T1400,7.3302455
20230202T1500,7.3402452
20230202T1600,7.3902454
20230202T1700,7.1002455
20230202T1800,6.8902454
20230202T1900,6.4102454
20230202T2000,6.0302453
20230202T2100,5.710245
20230202T2200,5.8002453
20230202T2300,5.630245
20230203T0000,5.3302455
20230203T0100,5.270245
20230203T0200,5.4102454
20230203T0300,5.4702454
20230203T0400,5.6002455
20230203T0500,5.3402452
20230203T0600,5.4702454
20230203T0700,5.710245
20230203T0800,5.8702455
20230203T0900,6.5702453
20230203T1000,7.270245
20230203T1100,8.020246
20230203T1200,8.190246
20230203T1300,8.400246
20230203T1400,8.290245
20230203T1500,7.980245
20230203T1600,7.670245
20230203T1700,7.5702453
